sq_mt_built,n_rooms,n_bathrooms,floor,buy_price,is_renewal_needed,is_new_development,built_year,has_ac,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_storage_room,energy_certificate,has_parking,neighborhood,district,neigh_price_m2,house_type
134.0,3,2.0,2.0,130000,0,0,1970.0,0,1,0,0,0,0,0,3.0,0,san andrés,villaverde,1617.18,Pisos
62.0,2,1.0,2.0,104000,0,0,1970.0,0,0,1,0,0,1,0,3.0,0,san andrés,villaverde,1617.18,Pisos
75.0,3,1.0,3.0,138000,0,0,1984.0,1,0,1,0,0,1,0,3.0,1,san andrés,villaverde,1617.18,Pisos
112.0,4,2.0,2.0,280000,0,0,1970.0,0,1,1,0,1,0,1,6.0,1,butarque,villaverde,2197.8,Pisos
65.0,3,1.0,1.0,150000,1,0,1976.0,0,1,1,0,1,0,0,3.0,0,los rosales,villaverde,1827.79,Pisos
70.0,2,1.0,3.0,145900,0,0,1968.0,1,0,1,0,0,1,0,3.0,0,san andrés,villaverde,1617.18,Pisos
75.0,1,1.0,1.0,92500,0,0,2008.0,1,1,1,0,0,0,0,3.0,0,san andrés,villaverde,1617.18,Pisos
123.0,3,2.0,7.0,298000,0,0,2002.0,1,1,1,0,1,0,1,3.0,1,los rosales,villaverde,1827.79,Pisos
61.0,3,1.0,2.0,99900,0,0,1970.0,1,0,1,0,0,1,0,3.0,0,san andrés,villaverde,1617.18,Pisos
72.0,2,1.0,3.0,138000,0,0,1970.0,1,0,1,0,0,0,0,3.0,1,san andrés,villaverde,1617.18,Pisos
61.0,3,1.0,5.0,100000,0,0,1966.0,0,0,1,0,0,0,0,3.0,0,butarque,villaverde,2197.8,Pisos
71.0,3,1.0,1.0,131400,1,0,1980.0,0,0,1,0,0,1,0,3.0,0,san andrés,villaverde,1617.18,Pisos
87.0,3,1.0,2.0,96000,1,0,1970.0,1,0,1,0,0,1,0,3.0,0,los rosales,villaverde,1827.79,Pisos
60.0,2,1.0,2.0,154000,0,0,1970.0,1,0,1,0,0,1,0,7.0,0,san andrés,villaverde,1617.18,Pisos
78.0,4,1.0,2.0,146700,0,0,1970.0,0,1,1,0,0,0,0,1.0,0,los ángeles,villaverde,1796.68,Pisos
52.0,1,1.0,1.0,92500,0,0,1970.0,1,0,0,0,0,0,0,1.0,0,los rosales,villaverde,1827.79,Pisos
125.0,3,3.0,7.0,275000,0,0,2004.0,1,1,1,0,1,1,1,4.0,0,butarque,villaverde,2197.8,Dúplex
75.0,0,1.0,1.0,83800,0,0,2008.0,1,1,1,0,0,1,0,3.0,0,san andrés,villaverde,1617.18,Pisos
97.0,2,2.0,0.0,266122,0,1,1970.0,0,1,1,0,1,1,0,3.0,0,butarque,villaverde,2197.8,Pisos
93.0,2,2.0,7.0,228273,0,1,1970.0,0,1,1,0,1,1,0,3.0,0,butarque,villaverde,2197.8,Pisos
103.0,4,2.0,1.0,171900,0,0,1970.0,0,1,1,0,0,0,1,3.0,0,los ángeles,villaverde,1796.68,Pisos
83.0,2,2.0,7.0,228273,0,0,2020.0,1,1,1,0,1,1,1,3.0,1,butarque,villaverde,2197.8,Áticos
45.0,2,1.0,1.0,85000,1,0,1968.0,0,0,1,0,0,0,0,3.0,0,los rosales,villaverde,1827.79,Pisos
120.0,3,2.0,7.0,298000,0,0,1970.0,1,1,0,0,1,0,1,3.0,1,los rosales,villaverde,1827.79,Pisos
74.0,3,1.0,1.0,139000,0,0,1970.0,0,0,1,0,0,0,1,3.0,0,los ángeles,villaverde,1796.68,Pisos
125.0,3,2.0,7.0,272500,0,0,2004.0,0,1,1,0,1,1,1,2.0,0,butarque,villaverde,2197.8,Dúplex
126.0,4,2.0,0.0,275000,0,0,1970.0,1,1,1,0,1,1,1,3.0,1,butarque,villaverde,2197.8,Pisos
158.0,3,2.0,4.0,289000,0,0,2003.0,1,1,1,0,1,1,1,3.0,1,butarque,villaverde,2197.8,Áticos
65.0,2,1.0,2.0,115000,0,0,1970.0,0,0,1,0,0,0,0,1.0,0,los rosales,villaverde,1827.79,Pisos
108.0,3,2.0,4.0,179000,0,0,1978.0,0,1,1,0,0,1,0,3.0,0,los ángeles,villaverde,1796.68,Pisos
62.0,2,1.0,0.0,123000,0,0,1984.0,1,1,1,0,0,0,0,3.0,0,san andrés,villaverde,1617.18,Pisos
51.0,2,1.0,3.0,89500,1,0,1967.0,0,0,1,0,0,1,0,3.0,0,los rosales,villaverde,1827.79,Pisos
112.0,3,2.0,3.0,289000,0,0,2013.0,1,1,1,0,1,0,1,3.0,1,butarque,villaverde,2197.8,Pisos
109.0,3,2.0,2.0,216278,0,1,1970.0,0,1,1,0,1,1,1,3.0,1,butarque,villaverde,2197.8,Pisos
107.0,3,2.0,1.0,207503,0,1,1970.0,0,1,1,0,1,1,1,3.0,1,butarque,villaverde,2197.8,Pisos
76.0,2,2.0,3.0,162793,0,1,1970.0,0,1,1,0,1,0,1,3.0,1,butarque,villaverde,2197.8,Pisos
105.0,3,2.0,1.0,204999,0,1,1970.0,0,1,1,0,1,1,1,3.0,1,butarque,villaverde,2197.8,Pisos
109.0,3,2.0,4.0,220879,0,1,1970.0,0,1,1,0,1,1,1,3.0,1,butarque,villaverde,2197.8,Pisos
108.0,3,2.0,4.0,218258,0,1,1970.0,0,1,1,0,1,1,1,3.0,1,butarque,villaverde,2197.8,Pisos
109.0,3,2.0,0.0,231855,0,1,1970.0,0,1,1,0,1,1,1,3.0,1,butarque,villaverde,2197.8,Pisos
76.0,2,2.0,4.0,163397,0,1,1970.0,0,1,1,0,1,0,1,3.0,1,butarque,villaverde,2197.8,Pisos
76.0,2,2.0,2.0,160759,0,1,1970.0,0,1,1,0,1,0,1,3.0,1,butarque,villaverde,2197.8,Pisos
108.0,3,2.0,3.0,217169,0,1,1970.0,0,1,1,0,1,1,1,3.0,1,butarque,villaverde,2197.8,Pisos
76.0,2,2.0,5.0,165208,0,1,1970.0,0,1,1,0,1,0,1,3.0,1,butarque,villaverde,2197.8,Pisos
109.0,3,2.0,3.0,219775,0,1,1970.0,0,1,1,0,1,1,1,3.0,1,butarque,villaverde,2197.8,Pisos
108.0,3,2.0,0.0,230817,0,1,1970.0,0,1,1,0,1,1,1,3.0,1,butarque,villaverde,2197.8,Pisos
108.0,3,2.0,2.0,213722,0,1,1970.0,0,1,1,0,1,1,1,3.0,1,butarque,villaverde,2197.8,Pisos
111.0,2,2.0,6.0,230749,0,1,1970.0,0,1,1,0,1,1,1,3.0,1,butarque,villaverde,2197.8,Áticos
115.0,3,2.0,2.0,233789,0,1,1970.0,0,1,1,0,1,0,1,3.0,1,butarque,villaverde,2197.8,Pisos
115.0,3,2.0,1.0,230789,0,1,1970.0,0,1,1,0,1,0,1,3.0,1,butarque,villaverde,2197.8,Pisos
117.0,3,2.0,1.0,244171,0,1,1970.0,0,1,1,0,1,1,1,3.0,1,butarque,villaverde,2197.8,Pisos
117.0,3,2.0,1.0,243468,0,1,1970.0,0,1,1,0,1,1,1,3.0,1,butarque,villaverde,2197.8,Pisos
117.0,3,2.0,1.0,244798,0,1,1970.0,0,1,1,0,1,1,1,3.0,1,butarque,villaverde,2197.8,Pisos
118.0,3,2.0,1.0,219235,0,1,1970.0,0,1,1,0,1,0,1,3.0,1,butarque,villaverde,2197.8,Pisos
115.0,3,2.0,5.0,242789,0,1,1970.0,0,1,1,0,1,0,1,3.0,1,butarque,villaverde,2197.8,Pisos
97.0,4,1.0,3.0,130000,0,0,1970.0,0,0,0,0,0,0,0,3.0,0,san andrés,villaverde,1617.18,Pisos
106.0,3,2.0,3.0,251569,0,1,1970.0,0,1,1,0,1,1,0,3.0,0,butarque,villaverde,2197.8,Pisos
103.0,3,2.0,3.0,235402,0,1,1970.0,0,1,1,0,1,1,0,3.0,0,butarque,villaverde,2197.8,Pisos
103.0,3,2.0,1.0,235172,0,1,1970.0,0,1,1,0,1,1,0,3.0,0,butarque,villaverde,2197.8,Pisos
103.0,3,2.0,5.0,236227,0,1,1970.0,0,1,1,0,1,1,0,3.0,0,butarque,villaverde,2197.8,Pisos
114.0,3,2.0,2.0,254710,0,1,1970.0,0,1,1,0,1,1,0,3.0,0,butarque,villaverde,2197.8,Pisos
150.0,2,1.0,2.0,159000,1,0,1993.0,0,0,0,0,0,1,1,2.0,1,san andrés,villaverde,1617.18,Casa o chalet
140.0,3,3.0,7.0,272500,0,0,2004.0,1,1,1,0,1,1,1,4.0,0,butarque,villaverde,2197.8,Dúplex
58.0,3,1.0,2.0,85000,0,0,1951.0,1,0,1,0,0,0,0,3.0,0,los rosales,villaverde,1827.79,Pisos
65.0,3,1.0,1.0,94000,0,0,1970.0,1,0,1,0,0,1,0,3.0,0,san cristóbal,villaverde,1308.89,Pisos
110.0,4,2.0,1.0,175000,0,0,1978.0,0,0,1,0,0,1,0,3.0,0,los rosales,villaverde,1827.79,Pisos
173.0,4,2.0,2.0,268000,0,0,2003.0,1,1,1,0,1,0,1,3.0,1,butarque,villaverde,2197.8,Pisos
75.0,2,1.0,3.0,156000,0,0,1970.0,1,1,1,0,0,1,1,3.0,0,san andrés,villaverde,1617.18,Áticos
