Unnamed: 0,sq_mt_built,n_rooms,n_bathrooms,floor,buy_price,is_renewal_needed,is_new_development,built_year,has_ac,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_storage_room,energy_certificate,has_parking,neighborhood,district,neigh_price_m2,house_type
43,93.0,2,2.0,7.0,228273,0,1,1970.0,0,1,1,0,1,1,0,3.0,0,Butarque,Villaverde,2197.8,Pisos
44,103.0,4,2.0,1.0,171900,0,0,1970.0,0,1,1,0,0,0,1,3.0,0,Los Ángeles,Villaverde,1796.68,Pisos
45,83.0,2,2.0,7.0,228273,0,0,2020.0,1,1,1,0,1,1,1,3.0,1,Butarque,Villaverde,2197.8,Áticos
46,45.0,2,1.0,1.0,85000,1,0,1968.0,0,0,1,0,0,0,0,3.0,0,Los Rosales,Villaverde,1827.79,Pisos
47,120.0,3,2.0,7.0,298000,0,0,1970.0,1,1,0,0,1,0,1,3.0,1,Los Rosales,Villaverde,1827.79,Pisos
48,74.0,3,1.0,1.0,139000,0,0,1970.0,0,0,1,0,0,0,1,3.0,0,Los Ángeles,Villaverde,1796.68,Pisos
49,125.0,3,2.0,7.0,272500,0,0,2004.0,0,1,1,0,1,1,1,2.0,0,Butarque,Villaverde,2197.8,Dúplex
50,126.0,4,2.0,0.0,275000,0,0,1970.0,1,1,1,0,1,1,1,3.0,1,Butarque,Villaverde,2197.8,Pisos
51,158.0,3,2.0,4.0,289000,0,0,2003.0,1,1,1,0,1,1,1,3.0,1,Butarque,Villaverde,2197.8,Áticos
52,65.0,2,1.0,1.0,115000,0,0,1970.0,0,0,1,0,0,0,0,1.0,0,Los Rosales,Villaverde,1827.79,Pisos
53,108.0,3,2.0,4.0,179000,0,0,1978.0,0,1,1,0,0,1,0,3.0,0,Los Ángeles,Villaverde,1796.68,Pisos
54,62.0,2,1.0,0.0,123000,0,0,1984.0,1,1,1,0,0,0,0,3.0,0,San Andrés,Villaverde,1617.18,Pisos
55,51.0,2,1.0,3.0,89500,1,0,1967.0,0,0,1,0,0,1,0,3.0,0,Los Rosales,Villaverde,1827.79,Pisos
56,112.0,3,2.0,3.0,289000,0,0,2013.0,1,1,1,0,1,0,1,3.0,1,Butarque,Villaverde,2197.8,Pisos
57,109.0,3,2.0,2.0,216278,0,1,1970.0,0,1,1,0,1,1,1,3.0,1,Butarque,Villaverde,2197.8,Pisos
58,107.0,3,2.0,1.0,207503,0,1,1970.0,0,1,1,0,1,1,1,3.0,1,Butarque,Villaverde,2197.8,Pisos
59,76.0,2,2.0,3.0,162793,0,1,1970.0,0,1,1,0,1,0,1,3.0,1,Butarque,Villaverde,2197.8,Pisos
60,105.0,3,2.0,1.0,204999,0,1,1970.0,0,1,1,0,1,1,1,3.0,1,Butarque,Villaverde,2197.8,Pisos
61,109.0,3,2.0,4.0,220879,0,1,1970.0,0,1,1,0,1,1,1,3.0,1,Butarque,Villaverde,2197.8,Pisos
62,108.0,3,2.0,4.0,218258,0,1,1970.0,0,1,1,0,1,1,1,3.0,1,Butarque,Villaverde,2197.8,Pisos
63,109.0,3,2.0,0.0,231855,0,1,1970.0,0,1,1,0,1,1,1,3.0,1,Butarque,Villaverde,2197.8,Pisos
64,76.0,2,2.0,4.0,163397,0,1,1970.0,0,1,1,0,1,0,1,3.0,1,Butarque,Villaverde,2197.8,Pisos
65,76.0,2,2.0,2.0,160759,0,1,1970.0,0,1,1,0,1,0,1,3.0,1,Butarque,Villaverde,2197.8,Pisos
66,108.0,3,2.0,3.0,217169,0,1,1970.0,0,1,1,0,1,1,1,3.0,1,Butarque,Villaverde,2197.8,Pisos
67,76.0,2,2.0,5.0,165208,0,1,1970.0,0,1,1,0,1,0,1,3.0,1,Butarque,Villaverde,2197.8,Pisos
68,109.0,3,2.0,3.0,219775,0,1,1970.0,0,1,1,0,1,1,1,3.0,1,Butarque,Villaverde,2197.8,Pisos
69,108.0,3,2.0,0.0,230817,0,1,1970.0,0,1,1,0,1,1,1,3.0,1,Butarque,Villaverde,2197.8,Pisos
70,108.0,3,2.0,2.0,213722,0,1,1970.0,0,1,1,0,1,1,1,3.0,1,Butarque,Villaverde,2197.8,Pisos
71,111.0,2,2.0,6.0,230749,0,1,1970.0,0,1,1,0,1,1,1,3.0,1,Butarque,Villaverde,2197.8,Áticos
72,115.0,3,2.0,2.0,233789,0,1,1970.0,0,1,1,0,1,0,1,3.0,1,Butarque,Villaverde,2197.8,Pisos
73,115.0,3,2.0,1.0,230789,0,1,1970.0,0,1,1,0,1,0,1,3.0,1,Butarque,Villaverde,2197.8,Pisos
74,117.0,3,2.0,1.0,244171,0,1,1970.0,0,1,1,0,1,1,1,3.0,1,Butarque,Villaverde,2197.8,Pisos
75,117.0,3,2.0,1.0,243468,0,1,1970.0,0,1,1,0,1,1,1,3.0,1,Butarque,Villaverde,2197.8,Pisos
76,117.0,3,2.0,1.0,244798,0,1,1970.0,0,1,1,0,1,1,1,3.0,1,Butarque,Villaverde,2197.8,Pisos
77,118.0,3,2.0,1.0,219235,0,1,1970.0,0,1,1,0,1,0,1,3.0,1,Butarque,Villaverde,2197.8,Pisos
78,115.0,3,2.0,5.0,242789,0,1,1970.0,0,1,1,0,1,0,1,3.0,1,Butarque,Villaverde,2197.8,Pisos
79,97.0,4,1.0,3.0,130000,0,0,1970.0,0,0,0,0,0,0,0,3.0,0,San Andrés,Villaverde,1617.18,Pisos
80,106.0,3,2.0,3.0,251569,0,1,1970.0,0,1,1,0,1,1,0,3.0,0,Butarque,Villaverde,2197.8,Pisos
81,103.0,3,2.0,3.0,235402,0,1,1970.0,0,1,1,0,1,1,0,3.0,0,Butarque,Villaverde,2197.8,Pisos
82,103.0,3,2.0,1.0,235172,0,1,1970.0,0,1,1,0,1,1,0,3.0,0,Butarque,Villaverde,2197.8,Pisos
83,103.0,3,2.0,5.0,236227,0,1,1970.0,0,1,1,0,1,1,0,3.0,0,Butarque,Villaverde,2197.8,Pisos
84,114.0,3,2.0,2.0,254710,0,1,1970.0,0,1,1,0,1,1,0,3.0,0,Butarque,Villaverde,2197.8,Pisos
85,150.0,2,1.0,1.0,159000,1,0,1993.0,0,0,0,0,0,1,1,2.0,1,San Andrés,Villaverde,1617.18,Casa o chalet
86,140.0,3,3.0,7.0,272500,0,0,2004.0,1,1,1,0,1,1,1,4.0,0,Butarque,Villaverde,2197.8,Dúplex
87,58.0,3,1.0,2.0,85000,0,0,1951.0,1,0,1,0,0,0,0,3.0,0,Los Rosales,Villaverde,1827.79,Pisos
88,65.0,3,1.0,1.0,94000,0,0,1970.0,1,0,1,0,0,1,0,3.0,0,San Cristóbal,Villaverde,1308.89,Pisos
89,110.0,4,2.0,1.0,175000,0,0,1978.0,0,0,1,0,0,1,0,3.0,0,Los Rosales,Villaverde,1827.79,Pisos
90,173.0,4,2.0,2.0,268000,0,0,2003.0,1,1,1,0,1,0,1,3.0,1,Butarque,Villaverde,2197.8,Pisos
91,75.0,2,1.0,3.0,156000,0,0,1970.0,1,1,1,0,0,1,1,3.0,0,San Andrés,Villaverde,1617.18,Áticos
92,90.0,1,1.0,7.0,183159,0,1,1970.0,0,1,1,0,1,1,1,3.0,1,Butarque,Villaverde,2197.8,Áticos
93,125.0,3,2.0,1.0,210000,0,0,1996.0,1,1,1,0,0,0,1,6.0,1,Los Rosales,Villaverde,1827.79,Pisos
94,58.0,2,1.0,0.0,85000,0,0,1968.0,0,0,1,0,0,0,0,3.0,0,San Andrés,Villaverde,1617.18,Pisos
95,92.0,3,1.0,6.0,159900,0,0,1962.0,1,1,1,0,0,1,0,3.0,0,Los Ángeles,Villaverde,1796.68,Pisos
96,70.0,2,1.0,3.0,117000,0,0,1975.0,1,0,1,0,0,0,0,3.0,0,San Andrés,Villaverde,1617.18,Pisos
97,54.0,2,1.0,2.0,110000,0,0,1960.0,0,0,1,0,0,0,0,3.0,0,San Andrés,Villaverde,1617.18,Pisos
98,52.0,2,1.0,1.0,100000,0,0,1970.0,0,0,1,0,0,0,0,3.0,0,Los Rosales,Villaverde,1827.79,Pisos
99,108.0,3,1.0,2.0,140000,0,0,1995.0,1,0,1,0,0,1,0,3.0,0,San Andrés,Villaverde,1617.18,Pisos
100,65.0,2,1.0,3.0,106500,0,0,1963.0,1,0,1,0,0,1,0,3.0,0,Los Rosales,Villaverde,1827.79,Pisos
